norm_norm_x,k_max,p,propotion_true,gammas_ratio1,gammas_ratio2,gammas_ratio3,gammas_ratio4,gammas_ratio5,gammas_ratio6,gammas_ratio7,gammas_ratio8,betas_ratio1,betas_ratio2,betas_ratio3,betas_ratio4,betas_ratio5,betas_ratio6,betas_ratio7,betas_ratio8
1,2,4,0.3,0.85995013,0.9449749,1.01465482,1.03016785,0,0,0,0,0.91324628,0.9782943,0.98213693,1.05292005,0,0,0,0
1,2,8,0.3,0.82428037,0.90956167,0.96791015,0.98937726,1.04645268,1.07348695,1.08905204,1.09400032,0.9415308,0.92984316,0.87146892,0.89175477,0.9201389,0.95671583,1.00033709,1.02293368
1,2,4,0.9,0.89198958,1.25819633,1.22261486,1.48595873,0,0,0,0,0.58819836,0.53885443,0.69361258,0.73205186,0,0,0,0
1,2,8,0.9,0.95975487,1.12827396,1.15625262,1.36652854,1.55969929,1.5550879,1.55366755,1.85728907,0.62675858,0.53219541,0.59846669,0.53289665,0.54996571,0.63586776,0.70245345,0.81787022
1.3,2,4,0.3,0.88452236,0.98559703,1.09682447,1.10303387,0,0,0,0,1.00243886,1.00328691,0.96013927,0.92919759,0,0,0,0
1.3,2,8,0.3,0.79839421,0.89171285,0.98605296,1.01181343,1.04306994,1.09074356,1.15193606,1.12112586,0.9997342,0.9807546,0.92530367,0.86717667,0.81754804,0.83057745,0.8256059,0.80752473
1.3,2,4,0.9,0.84512469,1.00029613,1.09793425,1.20009223,0,0,0,0,0.84895462,0.89507099,0.87333404,0.94298769,0,0,0,0
1.3,2,8,0.9,0.81869508,0.9150304,0.98370797,1.04055337,1.11938423,1.20406063,1.23439024,1.27374052,0.89202311,0.86705268,0.79743174,0.80655165,0.8210864,0.86584629,0.93198961,0.97722097
2,2,4,0.3,0.85000984,0.88399008,0.86547231,0.91269643,0,0,0,0,0.94859746,0.85320495,0.81861283,0.89897782,0,0,0,0
2,2,8,0.3,0.8735696,0.9101041,0.93223706,0.9603258,0.95120049,0.97493649,0.96254458,0.99756437,0.96010153,0.90866555,0.86990036,0.81241088,0.74641421,0.70993643,0.71625887,0.83744219
2,2,4,0.9,0.93244375,0.939107,0.95671452,0.95145846,0,0,0,0,1.0836051,1.14168767,1.12283708,1.06253611,0,0,0,0
2,2,8,0.9,0.8556642,0.91255826,0.95009325,0.95363179,0.98091976,0.9992012,1.01094475,0.99017543,1.09579419,1.14533575,1.12630756,1.12688366,1.09966997,1.08756265,1.09138579,1.05123727
1,3,4,0.3,0.78818986,0.87792066,1.00522478,1.06235608,0,0,0,0,0.93636501,0.93858899,0.94379328,1.01002869,0,0,0,0
1,3,8,0.3,0.77496482,0.83546202,0.94548165,0.98154888,1.06018614,1.0956652,1.09191812,1.09710658,1.03562132,1.05062196,1.00760744,0.93718175,0.91951245,0.92889545,0.90766481,0.99675625
1,3,4,0.9,1.43941467,0.49364815,1.18452172,1.3569147,0,0,0,0,1.24118899,0.96405479,1.36546506,1.29923149,0,0,0,0
1,3,8,0.9,5.66620422,0.39068685,1.28395197,2.17428884,-2.42511507,3.24015535,0.88199147,0.96754928,-1.35049608,3.55632415,1.04268958,1.57857979,-0.73321274,1.79189751,1.5428344,3.42106863
1.3,3,4,0.3,0.85406366,0.93629669,0.99188884,1.01448044,0,0,0,0,1.02460313,1.02746393,1.01141653,1.02511665,0,0,0,0
1.3,3,8,0.3,0.8191681,0.88612276,0.95509081,0.97768995,1.01185685,1.02295128,0.99675351,0.99789317,1.08921731,1.12423154,1.11878357,1.08124537,1.04769946,0.99375893,0.9741374,1.05001417
1.3,3,4,0.9,0.87182851,0.93189826,1.17675043,1.29769627,0,0,0,0,0.82632779,0.81968262,0.89833768,0.8808447,0,0,0,0
1.3,3,8,0.9,0.74865499,0.78634189,0.89171264,0.91046224,1.07116215,1.14494494,0.93975169,0.9818688,0.9241923,0.89292874,0.85153742,0.8645011,0.9236366,0.87630778,0.77299546,1.02113608
2,3,4,0.3,0.90542103,0.95998847,0.97543831,0.97239011,0,0,0,0,1.12186606,1.14815916,1.1160573,1.10505786,0,0,0,0
2,3,8,0.3,0.84881406,0.92233877,0.95517687,0.95792779,0.97895304,0.98980698,0.9854467,0.99572988,1.19775018,1.27362678,1.25111626,1.20583824,1.19113898,1.17085934,1.13874452,1.13734026
2,3,4,0.9,0.91889535,0.99880184,1.04214061,1.04668199,0,0,0,0,1.0703211,1.08005743,1.04997698,1.02017588,0,0,0,0
2,3,8,0.9,0.88177719,0.96957864,1.02742247,1.04004735,1.06808938,1.0891731,1.09291114,1.07472119,1.12779952,1.1756714,1.14962485,1.11200005,1.09231654,1.08355687,1.07792836,1.06495757
1,4,4,0.3,0.79216681,0.91691264,0.9772085,1.12627582,0,0,0,0,0.87407141,0.82532397,0.837094,0.97366473,0,0,0,0
1,4,8,0.3,0.72634671,0.80236575,0.94157621,1.02043476,1.13133889,1.17514981,1.20055281,1.25179795,0.96265861,0.95806373,0.93854567,0.9203656,0.91455382,0.88459763,0.91676885,1.01949417
1,4,4,0.9,0.72475083,1.28784115,1.17397871,1.04988791,0,0,0,0,0.12088477,0.96055066,0.29370773,0.89535613,0,0,0,0
1,4,8,0.9,0.9118645,0.81673205,1.12131824,1.02661137,1.1315225,1.10788279,1.28922896,2.39549133,0.6346294,0.59366105,0.72884674,0.39566156,0.76797052,0.18446558,1.10121632,1.2736818
1.3,4,4,0.3,0.84162229,0.95736966,1.08621382,1.1489516,0,0,0,0,0.99215184,0.9870605,0.99413162,1.0096956,0,0,0,0
1.3,4,8,0.3,0.72562369,0.88861763,0.97847755,1.02381022,1.0922393,1.18787725,1.22869123,1.22109524,1.08384073,1.09560854,1.03512453,0.98732276,0.98202074,0.98139706,0.9619707,0.9918919
1.3,4,4,0.9,0.95103257,1.03517816,0.87922117,0.87805684,0,0,0,0,0.95716046,0.90793405,0.67134216,0.92817354,0,0,0,0
1.3,4,8,0.9,0.63296797,0.8534125,1.01726359,1.16259011,1.26089946,1.25844002,1.33088318,1.56931074,0.86157777,0.85963778,0.84693124,0.80706957,0.74271009,0.76999443,0.88307295,1.10634074
2,4,4,0.3,0.90955864,1.05259398,1.11270166,1.12519075,0,0,0,0,1.12080825,1.12326114,1.07073708,1.04642882,0,0,0,0
2,4,8,0.3,0.86435058,1.01514114,1.0941152,1.1425742,1.17339828,1.180006,1.15948762,1.14611229,1.21535908,1.27908572,1.23986705,1.19109913,1.15466875,1.12532145,1.11020188,1.11960647
2,4,4,0.9,0.90896619,1.05046824,1.10291927,1.11980134,0,0,0,0,1.1316918,1.12701859,1.05599244,1.03556014,0,0,0,0
2,4,8,0.9,0.87322213,1.01298009,1.08295265,1.13189346,1.16629609,1.1719872,1.14497109,1.1227474,1.22947883,1.30144133,1.26808701,1.20036852,1.14345787,1.10056151,1.07514735,1.1054777
,,,,,,,,,,,,,,,,,,,
